scenario_num,hull_id,engine_id,propeller_id,NPV
0,1,1,405,434184003.461,00:00:57
0,1,1,593,422010643.611,00:01:55
0,1,1,600,421974146.938,00:02:53
0,1,1,412,434164455.845,00:03:51
0,1,1,614,421765155.383,00:04:49
0,1,1,787,434199097.396,00:05:47
0,1,1,426,434164455.845,00:06:44
0,1,1,801,434164455.845,00:07:42
0,1,1,433,434164455.845,00:08:39
0,1,1,627,434138129.315,00:09:41
0,1,1,815,434090459.223,00:10:38
0,1,1,634,421693421.903,00:11:39
0,1,1,697,434751240.978,00:12:37
0,1,1,315,434733318.664,00:13:33
0,1,1,524,424887364.191,00:14:31
1,1,1,405,278935271.5,00:15:30
1,1,1,593,279619818.078,00:16:30
1,1,1,600,279619818.078,00:17:31
1,1,1,412,278818798.167,00:18:30
1,1,1,614,278818909.935,00:19:30
1,1,1,787,278818798.167,00:20:29
1,1,1,426,278818798.167,00:21:28
1,1,1,801,278818798.167,00:22:27
1,1,1,433,278818798.167,00:23:25
1,1,1,627,278825501.43,00:24:29
1,1,1,815,278766132.792,00:25:28
1,1,1,634,278766242.236,00:26:31
1,1,1,697,279867743.77,00:27:30
1,1,1,315,279867743.77,00:28:29
1,1,1,524,279768093.975,00:29:29
2,1,1,405,237423219.009,00:30:28
2,1,1,593,236934120.857,00:31:28
2,1,1,600,236934120.857,00:32:29
2,1,1,412,236507565.315,00:33:28
2,1,1,614,236507565.315,00:34:28
2,1,1,787,239494164.088,00:35:28
2,1,1,426,239494164.088,00:36:26
2,1,1,801,239494164.088,00:37:25
2,1,1,433,239494164.088,00:38:24
2,1,1,627,238800571.903,00:39:27
2,1,1,815,238568350.281,00:40:26
2,1,1,634,238568350.281,00:41:29
2,1,1,697,239774809.02,00:42:29
2,1,1,315,239774809.02,00:43:29
2,1,1,524,239724038.864,00:44:30
3,1,1,405,177000647.431,00:45:30
3,1,1,593,176235063.835,00:46:32
3,1,1,600,176235063.835,00:47:33
3,1,1,412,180308108.714,00:48:34
3,1,1,614,180308108.714,00:49:36
3,1,1,787,176077497.414,00:50:37
3,1,1,426,176077497.414,00:51:38
3,1,1,801,176077497.414,00:52:38
3,1,1,433,176077497.414,00:53:38
3,1,1,627,179818764.99,00:54:42
3,1,1,815,179876759.878,00:55:44
3,1,1,634,179876759.878,00:56:49
3,1,1,697,180311396.073,00:57:52
3,1,1,315,180311396.073,00:58:54
3,1,1,524,180311396.073,00:59:57
4,1,1,405,198917121.83,01:00:57
4,1,1,593,198421208.28,01:01:59
4,1,1,600,198421208.28,01:03:00
4,1,1,412,198189398.769,01:04:00
4,1,1,614,198189398.769,01:05:02
4,1,1,787,198402621.806,01:06:02
4,1,1,426,198402621.806,01:07:01
4,1,1,801,198402621.806,01:08:01
4,1,1,433,198402621.806,01:09:01
4,1,1,627,198424088.45,01:10:05
4,1,1,815,198350895.838,01:11:05
4,1,1,634,198350895.838,01:12:09
4,1,1,697,202407852.071,01:13:10
4,1,1,315,202407852.071,01:14:10
